fecha,longitud,latitud,param,valor
2024-05-30,-27.4708793,-58.8624132,turb,41
2024-05-30,-27.4708793,-58.8624132,hazemeter,8.43
2024-05-30,-27.4730282,-58.8606735,ph,7.8
2024-05-30,-27.4730282,-58.8606735,cond,55.1
2024-05-30,-27.4730282,-58.8606735,secchi,41
2024-05-30,-27.4730282,-58.8606735,sol_sus,63.99999999999295
2024-05-30,-27.4730282,-58.8606735,turb,29
2024-05-30,-27.4730282,-58.8606735,hazemeter,6.35
2024-05-30,-27.473469,-58.8593196,ph,7.8
2024-05-30,-27.473469,-58.8593196,cond,52.9
2024-05-30,-27.473469,-58.8593196,secchi,53
2024-05-30,-27.473469,-58.8593196,sol_sus,61.99999999999762
2024-05-30,-27.473469,-58.8593196,turb,23
2024-05-30,-27.473469,-58.8593196,hazemeter,5.63
2024-05-30,-27.4742076,-58.8576185,ph,7.8
2024-05-30,-27.4742076,-58.8576185,cond,52.4
2024-05-30,-27.4742076,-58.8576185,secchi,66
2024-05-30,-27.4742076,-58.8576185,sol_sus,58.99999999996908
2024-05-30,-27.4742076,-58.8576185,turb,21
2024-05-30,-27.4742076,-58.8576185,hazemeter,5.49
