fecha,punto,pixel,banda,reflect,longitud,latitud
2023-05-11,10,1x1,B04,0.2416,-58.8672607,-27.4672578
2023-05-11,10,1x1,B05,0.2447,-58.8672607,-27.4672578
2023-05-11,10,1x1,B06,0.184775,-58.8672607,-27.4672578
2023-05-11,10,1x1,B07,0.18879375,-58.8672607,-27.4672578
2023-05-11,10,1x1,B08,0.1755,-58.8672607,-27.4672578
2023-05-11,10,1x1,B8A,0.1567,-58.8672607,-27.4672578
2023-05-11,10,1x1,B11,0.11263125,-58.8672607,-27.4672578
2023-05-11,10,1x1,B12,0.11129375,-58.8672607,-27.4672578
2023-05-11,10,3x3,B01,0.14978611111111112,-58.8672607,-27.4672578
2023-05-11,10,3x3,B02,0.16965555555555556,-58.8672607,-27.4672578
2023-05-11,10,3x3,B03,0.20295555555555556,-58.8672607,-27.4672578
2023-05-11,10,3x3,B04,0.24137777777777775,-58.8672607,-27.4672578
2023-05-11,10,3x3,B05,0.24444861111111113,-58.8672607,-27.4672578
2023-05-11,10,3x3,B06,0.1847256944444444,-58.8672607,-27.4672578
2023-05-11,10,3x3,B07,0.1886340277777778,-58.8672607,-27.4672578
2023-05-11,10,3x3,B08,0.17551111111111112,-58.8672607,-27.4672578
2023-05-11,10,3x3,B8A,0.1568159722222222,-58.8672607,-27.4672578
2023-05-11,10,3x3,B11,0.11267361111111111,-58.8672607,-27.4672578
2023-05-11,10,3x3,B12,0.11133958333333333,-58.8672607,-27.4672578
2023-05-11,11,1x1,B01,0.14905,-58.8647944,-27.4696977
2023-05-11,11,1x1,B02,0.1643,-58.8647944,-27.4696977
2023-05-11,11,1x1,B03,0.1917,-58.8647944,-27.4696977
2023-05-11,11,1x1,B04,0.2062,-58.8647944,-27.4696977
2023-05-11,11,1x1,B05,0.1959625,-58.8647944,-27.4696977
2023-05-11,11,1x1,B06,0.14316875,-58.8647944,-27.4696977
2023-05-11,11,1x1,B07,0.1451875,-58.8647944,-27.4696977
2023-05-11,11,1x1,B08,0.139,-58.8647944,-27.4696977
2023-05-11,11,1x1,B8A,0.1305375,-58.8647944,-27.4696977
2023-05-11,11,1x1,B11,0.11403125,-58.8647944,-27.4696977
2023-05-11,11,1x1,B12,0.11306875,-58.8647944,-27.4696977
2023-05-11,11,3x3,B01,0.14907916666666668,-58.8647944,-27.4696977
2023-05-11,11,3x3,B02,0.16465555555555556,-58.8647944,-27.4696977
2023-05-11,11,3x3,B03,0.1923888888888889,-58.8647944,-27.4696977
2023-05-11,11,3x3,B04,0.20575555555555555,-58.8647944,-27.4696977
2023-05-11,11,3x3,B05,0.19567430555555557,-58.8647944,-27.4696977
2023-05-11,11,3x3,B06,0.14332430555555556,-58.8647944,-27.4696977
2023-05-11,11,3x3,B07,0.14526041666666667,-58.8647944,-27.4696977
2023-05-11,11,3x3,B08,0.1389,-58.8647944,-27.4696977
2023-05-11,11,3x3,B8A,0.13064930555555557,-58.8647944,-27.4696977
2023-05-11,11,3x3,B11,0.11403958333333332,-58.8647944,-27.4696977
